Date,RBC Open,RBC High,RBC Low,RBC Close,RBC Adj Close,RBC Volume,BMO Open,BMO High,BMO Low,BMO Close,BMO Adj Close,BMO Volume,,Drop down,,,,,,,,,,,,,Date,RBC Volume,RBC Volume
7/15/2022,$92.37,$92.63,$91.22,$92.05,$90.06,691100,$92.20,$92.45,$90.75,$91.12,$89.25,1452000,,,,,,,,,,,,,,,7/15/2022,691100,691100
7/18/2022,$93.09,$94.90,$93.09,$93.41,$91.39,588000,$92.26,$94.48,$92.26,$93.07,$91.16,1026200,,,,,,,,,,,,,,,7/18/2022,588000,588000
7/19/2022,$94.56,$96.51,$94.56,$96.28,$94.20,1103800,$94.23,$95.97,$93.60,$95.78,$93.81,947200,,,,,,,,,,,,,,,7/19/2022,1103800,1103800
7/20/2022,$96.07,$97.03,$95.64,$96.92,$94.82,390900,$95.59,$96.20,$95.04,$96.06,$94.09,1331800,,,,,,,,,,,,,,,7/20/2022,390900,390900
7/21/2022,$96.70,$97.47,$95.75,$97.41,$95.30,408700,$95.96,$96.57,$95.04,$96.40,$94.42,695900,,,,,,,,,,,,,,,7/21/2022,408700,408700
7/22/2022,$97.57,$98.15,$96.40,$97.02,$94.92,437600,$96.53,$97.12,$95.34,$95.74,$93.77,1889900,,,,,,,,,,,,,,,7/22/2022,437600,437600
7/25/2022,$97.52,$98.69,$97.42,$98.51,$96.38,461600,$95.59,$96.42,$95.31,$95.90,$94.91,1965300,,,,,,,,,,,,,,,7/25/2022,461600,461600
7/26/2022,$97.88,$98.65,$97.25,$97.64,$95.53,428800,$95.16,$96.02,$94.16,$94.55,$93.58,535100,,,,,,,,,,,,,,,7/26/2022,428800,428800
7/27/2022,$98.04,$99.86,$97.68,$99.31,$97.16,505700,$94.82,$96.20,$94.56,$95.68,$94.70,854300,,,,,,,,,,,,,,,7/27/2022,505700,505700
7/28/2022,$99.34,$99.92,$98.35,$99.72,$97.56,526600,$95.85,$96.73,$94.78,$96.53,$95.54,834300,,,,,,,,,,,,,,,7/28/2022,526600,526600
7/29/2022,$99.87,$101.22,$99.74,$100.72,$99.62,1799300,$96.76,$98.15,$96.53,$97.51,$96.51,656700,,,,,,,,,,,,,,,7/29/2022,1799300,1799300
